Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	23	39	5
1	41	7	23
2	24	41	8
3	6	23	41
4	37	3	21
5	45	10	27
6	21	39	5
7	39	5	23
8	39	5	23
9	26	43	10
10	21	40	5
11	23	41	6
12	23	40	7
13	41	7	25
14	7	25	41
15	3	21	37
16	7	23	41
17	43	8	26
18	39	5	23
19	21	39	5
20	41	8	24
21	7	25	43
22	37	3	21
23	9	25	43
24	41	7	23
25	39	5	23
26	23	40	7
27	5	23	41
28	27	43	11
29	26	43	10
30	37	3	21
31	43	8	24
32	5	23	41
33	6	23	41
34	3	21	37
35	8	25	43
36	39	5	23
37	7	23	41
38	43	9	27
39	10	26	44
40	41	7	25
41	7	23	42
42	39	5	21
43	41	7	25
44	7	25	43
45	41	7	25
46	24	41	8
47	21	38	5
48	41	6	23
49	3	19	37
50	9	25	43
51	7	25	43
52	22	38	5
53	38	3	22
54	25	41	7
55	5	23	41
56	23	41	6
57	21	39	5
58	25	41	9
59	3	21	39
60	43	8	26
61	25	41	8
62	37	3	21
63	42	7	25
64	41	7	25
65	9	27	43
66	4	21	39
67	9	25	43
68	8	25	43
69	23	39	6
70	23	39	6
71	26	43	8
72	25	41	8
73	25	43	8
74	8	26	45
75	7	25	42
76	5	22	40
77	39	5	23
78	7	25	41
79	23	39	4
80	41	7	25
81	4	21	39
82	5	23	39
83	23	40	7
84	7	23	42
85	39	4	21
86	5	23	39
87	39	5	23
88	9	25	43
89	39	5	21
90	9	25	43
91	5	22	40
92	19	38	3
93	41	7	25
94	9	25	43
95	25	43	9
96	23	41	7
97	21	37	3
98	38	3	21
99	42	9	25
100	7	25	41
101	9	25	43
102	39	5	23
103	5	21	39
104	41	7	23
105	41	6	25
106	3	22	38
107	45	5	27
108	21	38	5
109	27	43	10
110	23	39	7
111	3	19	37
112	29	47	13
113	7	25	43
114	40	5	23
115	41	7	25
116	7	23	41
117	10	26	45
118	7	23	41
119	26	43	8
120	23	41	7
121	27	43	10
